,x,y
0,"Куплю квартиру от собственника 1+1. Махмутлар, Оба, Кестель, Каргвджак.",1
1,"Нам нужна квартира для покупки в Авсалларе 1+1 
желательно не первый этаж, можно последний 
Бюджет 65000€ 
Свяжитесь со мной в лс",1
2,В поиске агента по аренде. Сдать хочу в авсалларе свою квартиру 2+1. Заранее спасибо,1
3,"▶️ Ищу квартиру на длительный срок 

Махмутлар / Алания 

От 2+1 

Предложения в личку",1
4,"Ищу квартиру 1+1 в Yekta Kingdom или Serenity с 23.10 на 2-3 недели. 
Проживать буду один. Взрослый, аккуратный, не пью, не курю, тусовки не устраиваю.",1
5,"Снимем квартиру от собственника 2+1 Клеопатра,  центр,  Оба. Готовы заехать 22 октября.  Минимум на 3 месяца",1
6,"Сниму квартиру 1+1 в Махмутларе до 500$ долгосрочно.

Дом с инфраструктурой. Проживать буду одна с сыном. Готова оплатить вперед. Без комиссии! С минимальным депозитом.
Предложения в личку, пожалуйста.",1
7,Ищу квартиру 300₴ на длительный срок,1
8,"Здравствуйте, ищу квартира 3+1 Макс бюджет 500€ , для троих девушек , на долгий срок до 9-10 месяцев , с внж проблем нет , у одной гражданство у двоих студенческая виза на 4 года",1
9,"Здравствуйте! Ищу квартиру 1+1 , в Махмутлар или Обе , с 15 сентября на 9 месяцев , макс бюджет 300-350€",1
10,Ищу квартиру или комнату в аренду с середины сентября до 500€ (от Клеопатры до кыргыджака),1
11,"Купим квартиру в Аланье 2+1, 1+1 от собственника.",1
12,Ищу квартиру 2+1 в Махмутлар или же Кестель. От собственника без комисси. На месяц-два. Заехать готовы сразу. Бюджет 600-700€. Пишите.,1
13,"Добрый день))
Нужна квартира в Анталии на покупку 2+1 готовое или то, что скоро сдается. В пределах - максимум 200 000€.",1
14,"Всем привет!!!
Нужна квартира в Анталии на покупку 2+1 готовое или то, что скоро сдается. В пределах - максимум 200 000€.",1
15,Всем привет нужна квартира или дом на 1 мес. Семья с 4 детьми. Напишите пожалуйста в личку,1
16,"Сниму квартиру на июль , цена до 650 Евро.  Квартиросъёмщик -  образцовый , не курим не пьем. Нужен стабильный интернет , удаленность от моря не имеет значения",1
17,"Всем привет! Ищу квартиру на 2 месяца, рассмотрю варианты. 2комн.",1
18,"День добрый!
Ищу квартиру с 13.06 по 09.07
Желательно поближе к Клеопатре, 2+1  (но не обязательно)
Из обязательного - хороший интернет и стирлака)

Путешествуем маленькой семьёй: я, жена и дочь (2 года)",1
19,"Ищу 3+1 с июня на два месяца бюджет 1500€ без комисий, депозиов, от собственника. Близко к морю.",1
20,"Куплю квартиру в Обе 2+1 или 3+1 ,дом с бассейном и с лифтом, Не обязательно новый дом можно и 10-20 лет. Территориально в близи гостиницы Кайла .Бюджет максимум 200.тыс 
Предложение в л/с",1
21,"Здравствуйте 
Требуется в аренду квартира 2+1 на 2 месяца , начиная с середины мая
Нас трое плюс маленькая собачка",1
22,"Ребят, ищу жилье в Аланье помесячно, 1+1
Вдруг кто-то съезжает или знает контакты",1
23,"Ищу квартиру в центре Алании (около вайкики), цена 500-600 $, без депозита.",1
24,Кто нибудь сдает квартиру строго от собственника в новом доме ? Без комиссии на короткий срок,1
25,"Приветствую. Сниму квартиру 1+1 для семьи, без детей, без животных, рассмотрю Каргиджак, жк Konak Premium 
На долгосрочное проживание от года. Другие районы и жк не предлагать. Буду Рада пообщаться с собственниками.",1
26,"Ищу виллу на долгий срок в районе Газипаши. Готов заехать в конце Марта, начале Апреля.
Только с временной пропиской под ВНЖ.
Не менее двух спален. 
Бюджет: до 15000 лир
Проживать буду один: без детей и домашних животных",1
27,"Ищу квартиру в аренду для родственника,будет проживать 1 человек,цена до 500 долларов,без депозита и комиссии.Желательно около центра.",1
28,"Ребята всем привет если есть вариант квартиры 2 + 1 пишите буду очень признателен., Район значения не имеет главное чтоб квартира бара была хорошая ( Аланья) комиссию платить не хочу так как на 4 месяца",1
29,"#сниму квартиру #аренда 
Махмутлар  
Сниму квартиру 1+1 длительный срок. от 3 этажа 
семейная пара 2 человека + 🐱 котик
важно :посудомойку, кандей, 
Аренда до 750$ 
Инфраструктура комплекса",1
30,"Здравствуйте! Сниму квартиру 1+1 минимум на 3 месяца, от собственника без комиссии. 
Аланья (центр) или Оба.
Проживать буду один, без домашних животных. Не курю, чистоплотный и ответственно отношусь к чужому имуществу. Обязательно наличие интернета.
Бюджет  до 550$.
Просьба присылать ваши предложения в личные сообщения. Спасибо 😊",1
31,"Здравствуйте! Сниму квартиру 1+1 с 30 декабря минимум на 3 месяца, от собственника без комиссии. 
Проживать буду один, без домашних животных. Не курю, чистоплотный и ответственно отношусь к чужому имуществу. По бюджету до 550$.
Просьба присылать ваши предложения в личные сообщения. Спасибо 😊",1
32,"#сниму квартиру #аренда 
Махмутлар  
Сниму квартиру 1+1 длительный срок
семейная пара 2 человека + 🐱 котик

Аренда до 750 дол 
Инфраструктура комплекса",1
33,"Добрый день! Сдает, кто квартиру на долгосрок 1+1 или 2+1 ?",1
34,"#сниму квартиру #аренда 
Махмутлар  
Сниму квартиру 1+1 длительный срок
семейная пара 2 человека + 🐱 котик

Аренда до 700$ 
Инфраструктура комплекса",1
35,"Сниму квартиру 1+1 на долгий срок, мы с котиком , ищем квартиру с инфраструктурой , не Турецкий дом , от 3 этажа",1
36,Ищу квартиру посуточно,1
37,"#сниму квартиру #аренда 
Аланья 
Сниму квартиру 1+1 длительный срок
Аренда 700$
Помощь в оформлении ВНЖ
От собственника",1
38,"Сниму квартиру до 500$ Махмутлар, Аланья, Оба, Кестель от собственника
В личные сообщения, пожалуйста",1
39,Здравствуйте мне нужна квартира 1+1 Махмутлар от собственника бюджет 500$ оплата по месяцам заедем 26 ноября у кого есть квартиры отзовитесь в личку!!!,1
40,"Привет 😊 ищу квартиру в Алании 1+1 на длительный срок 
Если кто то ищет тоже(девушки) можем объединиться",1
41,здраствуйте нужна квартира в махмутларе или обе оплата по месячно минимум на месяц макс 6 месяцев бюджет от 400 -600 от собственника 1+1,1
42,"‼️СНИМУ ‼️
Квартиру 2+1 или 3+1
В современном жк с новым ремонтом!
На месяц с возможностью продления!
Без комиссии!
До 1400€ в месяц

Предложения только с фото в личку, Спасибо",1
43,"Ищу 1+1 тёплую, на южную сторону с начала-середины ноября. На 2+- месяца. Бюджет до 600-700. От собственника. Без комиссии риэлтеров и пр. Алания или Махмутлар. Близость к морю обязательна. Рассмотрю все варианты, в л/с.",1
44,"Ищу комнату на подселение либо же студию, бюджет 6000 лир, молодой парень, в лс",1
45,"Доброго времени суток.
.
ИЩЕМ хорошую квартиру в Алании, Махмутлар, Кестел, Каргыджак
от 1+1
с НОЯБРЯ, крайний срок заселения 10.11.2022
Срок на 1-2 месяца
.
Мы семья без детей, чистоту идеальную гарантируем, оплата в любой валюте нал/безнал.
.
Желательно 700 $
+79033888371",1
46,"🏠Сниму 2+1

👍На долгосрок, от 6 месяцев
‼️Только с ВНЖ либо с возможностью сделать ВНЖ на другой адрес
‼️Рассматриваю разные районы Алании, предпочтительно Махмутлар
‼️Комплекс только с инфраструктурой
‼️Обязательно вся техника в раб.состоянии

2 взрослых + приученный йорк🐕

До 1000$/мес.

✍️Пишите в лс",1
47,"🏠Сниму 2+1

👍На долгосрок
‼️Только с ВНЖ
‼️Рассматриваю разные районы Алании
‼️Комплекс только с инфраструктурой
‼️Обязательно вся техника в раб.состоянии

2 взрослых + приученный йорк🐕

До 1000$/мес.

✍️Пишите в лс",1
48,"Ищу 1+1 , под внж, оба / тосмур / демирташ 
Бюджет 500€, без комиссии, оплачу за 6 месяцев в перед. Жду варианты.",1
49,"Всем привет! Ищу квартиру 1+1, под ВНЖ, на долгий срок, 1 парень без вредных привычек.",1
